tracker_mode,run_id,label,station_accuracy,side_accuracy,joint_station_side_accuracy,direction_accuracy_non_ambiguous
fused,0,mustang,0.4713804713804714,0.696969696969697,0.39730639730639733,0.31958762886597936
fused,1,mustang,0.4048903272204243,0.6141675656238763,0.3016900395541172,0.3276051188299817
fused,2,miata,0.32623318385650224,0.5695067264573991,0.2242152466367713,0.2757009345794392
fused,3,miata,0.35811269517990496,0.6065852002715546,0.2654446707399864,0.29679238632358124
fused,4,gle350,0.3897550111358575,0.6291759465478842,0.3062360801781737,0.35891647855530473
fused,5,gle350,0.3902071563088512,0.664030131826742,0.3182674199623352,0.33256880733944955
fused,6,cx30,0.3926174496644295,0.6588366890380313,0.3053691275167785,0.3302857142857143
fused,7,cx30,0.4081041968162084,0.6338639652677279,0.32344428364688854,0.2859778597785978
geo,0,mustang,0.3400673400673401,0.531986531986532,0.21212121212121213,0.30584192439862545
geo,1,mustang,0.32793959007551243,0.5451276519237684,0.19848975188781015,0.3180987202925046
geo,2,miata,0.26905829596412556,0.5291479820627802,0.16367713004484305,0.34813084112149534
geo,3,miata,0.2817379497623897,0.5488798370672098,0.17617107942973523,0.30419457173070147
geo,4,gle350,0.3374164810690423,0.5712694877505567,0.22271714922049,0.35214446952595935
geo,5,gle350,0.37175141242937854,0.6097928436911487,0.280225988700565,0.286697247706422
geo,6,cx30,0.3366890380313199,0.5727069351230425,0.23154362416107382,0.2925714285714286
geo,7,cx30,0.34876989869753977,0.5839363241678727,0.25180897250361794,0.2878228782287823
hybrid_mic,0,mustang,0.5993265993265994,0.7575757575757576,0.510662177328844,0.565864833906071
hybrid_mic,1,mustang,0.47357065803667747,0.6468896080546566,0.3725278676734987,0.5755027422303474
hybrid_mic,2,miata,0.3755605381165919,0.5672645739910314,0.2399103139013453,0.5210280373831776
hybrid_mic,3,miata,0.44772572980312286,0.6116768499660556,0.32382892057026474,0.5248501938667607
hybrid_mic,4,gle350,0.41759465478841873,0.5612472160356348,0.29287305122494434,0.5711060948081265
hybrid_mic,5,gle350,0.43389830508474575,0.6222222222222222,0.3205273069679849,0.5542813455657493
hybrid_mic,6,cx30,0.33221476510067116,0.6118568232662193,0.232662192393736,0.512
hybrid_mic,7,cx30,0.4026772793053546,0.6020260492040521,0.2897973950795948,0.5498154981549815
linear_fused,0,mustang,0.2772166105499439,0.5050505050505051,0.13804713804713806,0.0
linear_fused,1,mustang,0.2686084142394822,0.4994606256742179,0.1262135922330097,0.0
linear_fused,2,miata,0.3116591928251121,0.5168161434977578,0.15582959641255606,0.0
linear_fused,3,miata,0.3143245078071962,0.5,0.14358452138492872,0.0
