sensor_node,station_id,side_label,sensor_rank,point_index,loop_node_index,x_m,y_m,latitude,longitude,u_m,tangent_x,tangent_y,next_loop_node_index,prev_loop_node_index
rs10,1,negative_cross,0,1,0,-4.390316838372002,99.5499354682415,40.28966459907834,-88.12637544854071,-21.53039689633009,-0.13398711348844994,-0.9909830742343854,1,39
rs10,1,negative_cross,0,2,1,-9.272813191760932,86.75227052378492,40.289549506912444,-88.12643301228879,-8.193935953642413,-0.13398711348844994,-0.9909830742343854,2,0
rs10,1,negative_cross,0,3,2,-9.795668325195328,78.55447147477767,40.289475782334385,-88.12643917665615,0.0,-0.13398711348844994,-0.9909830742343854,3,1
rs10,1,negative_cross,0,4,3,-9.602041179690561,72.67161590601896,40.28942287654321,-88.12643689382716,5.803866754486192,-0.13398711348844994,-0.9909830742343854,4,2
rs10,1,negative_cross,0,5,4,-9.763888706239163,59.72645572618259,40.289306457920794,-88.1264388019802,18.65398686886447,-0.13398711348844994,-0.9909830742343854,5,3
rs7,2,negative_cross,1,1,5,-9.848443580335596,46.47452596605212,40.289187280453255,-88.12643979886685,-19.291439446133655,-0.03346508763833531,-0.9994398870914442,6,4
rs7,2,negative_cross,1,2,6,-9.964258682968975,33.768694348114025,40.28907301416431,-88.12644116430594,-6.588848765939236,-0.03346508763833531,-0.9994398870914442,7,5
rs7,2,negative_cross,1,3,7,-10.589903115367235,27.197101994228255,40.28901391441441,-88.12644854054054,0.0,-0.03346508763833531,-0.9994398870914442,8,6
rs7,2,negative_cross,1,4,8,-10.262500203369362,20.3486354740571,40.28895232467532,-88.12644468051948,6.833674038526339,-0.03346508763833531,-0.9994398870914442,9,7
rs7,2,negative_cross,1,5,9,-11.180638886394823,6.515964787698145,40.288827924479165,-88.12645550520833,20.689322458965655,-0.03346508763833531,-0.9994398870914442,10,8
rs5,3,negative_cross,2,1,10,-12.777990640917416,-7.050733487690752,40.28870591623036,-88.12647433769634,-20.043571764135606,-0.08047559859944914,-0.9967565791255458,11,9
rs5,3,negative_cross,2,2,11,-14.390516252528732,-20.42216675253209,40.288585664041996,-88.12649334908136,-6.585738721215461,-0.08047559859944914,-0.9967565791255458,12,10
rs5,3,negative_cross,2,3,12,-15.606406777237508,-26.93116738446165,40.288527127192985,-88.12650768421052,0.0,-0.08047559859944914,-0.9967565791255458,13,11
rs5,3,negative_cross,2,4,13,-15.539148421138323,-33.79161467643788,40.288465429708225,-88.12650689124668,6.832783317553448,-0.08047559859944914,-0.9967565791255458,14,12
rs5,3,negative_cross,2,5,14,-16.01374904581575,-47.113290418952126,40.288345625,-88.12651248670213,20.1494450282483,-0.08047559859944914,-0.9967565791255458,15,13
rs2,4,negative_cross,3,1,15,-16.199544839909017,-61.18305682700108,40.28821909255079,-88.1265146772009,-19.450506981927955,0.22136776193398305,-0.9751903988331404,16,14
rs2,4,negative_cross,3,2,16,-16.33093306950765,-74.9727138811283,40.28809507918552,-88.12651622624435,-6.032050937872124,0.22136776193398305,-0.9751903988331404,17,15
rs2,4,negative_cross,3,3,17,-16.62504919566662,-81.22498910221759,40.288038851123595,-88.12651969382023,0.0,0.22136776193398305,-0.9751903988331404,18,16
rs2,4,negative_cross,3,4,18,-15.547575806057266,-89.7340259488302,40.28796232751678,-88.12650699060403,8.536448908935276,0.22136776193398305,-0.9751903988331404,19,17
rs2,4,negative_cross,3,5,19,-7.126330390715507,-100.59117517983645,40.28786468682796,-88.12640770564516,20.988428848002215,0.22136776193398305,-0.9751903988331404,20,18
rs1,4,positive_cross,4,1,20,5.552636583215392,-98.48955779657254,40.28788358712716,-88.12625822291994,-20.25812026106754,0.20030645219445592,0.9797332928962199,21,19
rs1,4,positive_cross,4,2,21,11.506873225351612,-86.82054923089922,40.28798852904239,-88.12618802354788,-7.63293205687368,0.20030645219445592,0.9797332928962199,22,20
rs1,4,positive_cross,4,3,22,12.987600809363752,-79.33245750119329,40.28805587106918,-88.12617056603774,0.0,0.20030645219445592,0.9797332928962199,23,21
rs1,4,positive_cross,4,4,23,12.939135008127195,-73.1976571713836,40.28811104265403,-88.12617113744076,6.00076011568681,0.20030645219445592,0.9797332928962199,24,22
rs1,4,positive_cross,4,5,24,13.469981234181128,-59.7866397409505,40.28823165083136,-88.12616487885985,19.24631230809531,0.20030645219445592,0.9797332928962199,25,23
rs3,3,positive_cross,5,1,25,13.724472573597625,-46.0198480429368,40.28835545856354,-88.12616187845303,-20.057000831365755,0.014312290707194855,0.9998975739218057,26,24
rs3,3,positive_cross,5,2,26,13.987886275174933,-32.61101553148313,40.288476047091415,-88.12615877285319,-6.645771680566165,0.014312290707194855,0.9998975739218057,27,25
rs3,3,positive_cross,5,3,27,14.422321257326315,-25.970781477542456,40.28853576415094,-88.1261536509434,0.0,0.014312290707194855,0.9998975739218057,28,26
rs3,3,positive_cross,5,4,28,14.125473506438025,-19.21065596223068,40.28859655942029,-88.12615715072464,6.755184530860652,0.014312290707194855,0.9998975739218057,29,27
rs3,3,positive_cross,5,5,29,14.307402566707728,-5.894882668911373,40.288716311046514,-88.12615500581396,20.072197763342064,0.014312290707194855,0.9998975739218057,30,28
rs6,2,positive_cross,6,1,30,14.278739187938204,7.524484871661204,40.28883699431818,-88.12615534375,-20.25261003200142,-0.009588515151684083,0.9999540291319327,31,29
rs6,2,positive_cross,6,2,31,14.13295662710396,21.14586338559778,40.288959494318185,-88.1261570625,-6.630459866365993,-0.009588515151684083,0.9999540291319327,32,30
rs6,2,positive_cross,6,3,32,14.373017354241496,27.778930005713732,40.28901914691943,-88.12615423222749,0.0,-0.009588515151684083,0.9999540291319327,33,31
rs6,2,positive_cross,6,4,33,13.9186979148101,34.383456942524404,40.28907854285714,-88.12615958857143,6.608579569802904,-0.009588515151684083,0.9999540291319327,34,32
rs6,2,positive_cross,6,5,34,13.881127601166474,47.27172725959759,40.28919444985674,-88.12616003151862,19.496617645423356,-0.009588515151684083,0.9999540291319327,35,33
rs8,1,positive_cross,7,1,35,13.887127210764815,60.55337759732324,40.289313894607844,-88.1261599607843,-18.615617745629063,-0.15560976367403595,0.9878186075638131,36,34
rs8,1,positive_cross,7,2,36,13.818363266149484,73.58091362445337,40.289431054054056,-88.12616077149877,-5.736074906151079,-0.15560976367403595,0.9878186075638131,37,35
rs8,1,positive_cross,7,3,37,14.119925186225341,79.4352282131706,40.28948370317003,-88.12615721613832,0.0,-0.15560976367403595,0.9878186075638131,38,36
rs8,1,positive_cross,7,4,38,13.478844308034823,88.24862504312426,40.28956296395194,-88.12616477436582,8.80579582842332,-0.15560976367403595,0.9878186075638131,39,37
