loop_node_index,rs10__mic,rs1__mic,rs2__mic,rs3__mic,rs5__mic,rs6__mic,rs7__mic,rs8__mic
0,0.016277776024950646,-0.20225000401814458,-0.2721032654529305,0.06487079184412337,-0.38585104079796645,0.01070339649016942,-0.29920392895214737,0.08533552050549133
1,0.9698168338755366,-0.27847123035835347,-0.3083176239626091,-0.10178677879500408,-0.36769386509154495,0.005966133243195372,-0.2931385084679655,-0.025835731468688977
2,1.1801461271134837,-0.1536651075341926,-0.21531359681328932,-0.0995170850106574,-0.4357889975240696,0.005637770426859756,-0.21575261080939734,0.03454503064312695
3,1.1223822148899847,-0.29400354283363056,-0.18948200931374143,0.0519154903501534,-0.330794725848529,-0.0641174128838034,0.004317890358864964,0.17893959200727827
4,0.5837832750716498,-0.22969935031607827,-0.22304713315846525,-0.03926919158262087,-0.3771122454228588,0.04071632545446772,0.1604129559326179,0.09918648294899012
5,0.3007041283536551,-0.28594039237398267,-0.2524933983843643,0.07740588510689549,-0.36978430081525265,-0.023242515728009817,0.7017956243485097,0.09570534106285639
6,0.15325913180198555,-0.27093161933449783,-0.29480827300470747,-0.08318235157396911,-0.1639152884918643,-0.02040222336768635,1.147455583974827,0.03962069636617487
7,0.061655344736921476,-0.2857080231391292,-0.2633378607353667,-0.10339213397379249,-0.09534608560074946,0.023717634955358145,1.3780502583793481,0.07611292454345141
8,-0.020533429065394043,-0.20972312568390242,-0.19432649830154872,-0.24403340757955944,0.0870835597637069,-0.015693319986756184,1.305352989422542,-0.017230324016010712
9,-0.08278090980834465,-0.17830561548562654,-0.1231971306040894,-0.03539858789182475,0.33091798783563253,-0.012045452617643991,0.9096435369525867,-0.03170721782335445
10,-0.19940432168710187,-0.04864313736773529,-0.1344810229566421,0.010103362147318717,0.8738895313933958,-0.09345548580156023,0.46353145241280086,0.051392099271220605
11,-0.2578068077055193,-0.2510284175021759,-0.08548338999705904,0.04594199892946034,1.415985299605189,0.03715491072057107,0.2601067633600832,0.04001252822156124
12,-0.22133513358971732,-0.2357016625315845,0.06002409520746107,0.05620472483516893,1.7174186557508702,0.0001170502743719803,0.1256878282963607,0.08265484938369086
13,-0.2640012698172709,-0.16623597674478252,0.07825761738964307,0.11391286876461142,1.4790231022446254,-0.04234704023818965,0.12328702413877798,0.03184268998427991
14,-0.21973713134654246,-0.07594613404062171,0.3319938575121809,-0.08916516017911533,0.8278171228538839,-0.026483572399238525,-0.09515388761005045,-0.030795877162994194
15,-0.15951076918534343,-0.08499779830445482,0.8763020724579609,0.07379654068268458,0.373589420093405,-0.13686757439476438,-0.1255115526598012,-0.06925683568444262
16,-0.16636204279954744,0.08942919516427524,1.8059291537654256,-0.06427319193883146,0.09812308167055411,0.046642574883818344,-0.14976803021062593,-0.06725979602223817
17,-0.3194437299837322,0.030417974429226332,1.8593791449201615,-0.13006297800439962,-0.13403976297282302,-0.025876564292644837,-0.104111487787251,0.02116189966503969
18,-0.29811905971350106,-0.12126426128245249,0.9917309873711684,-0.12187431634151588,-0.4237502552496204,0.012120394479171513,-0.17326753295961772,0.03593652681658918
19,-0.177137891479004,-0.16229790926088056,0.02985920112459329,-0.1906941722441593,-0.538474345696563,-0.010914150752059232,-0.2598275250908394,0.0307992253481222
20,-0.24804367463336646,0.433514300766573,-0.23199376861378404,-0.2652545645154122,-0.5654650336897977,-0.10846378433539902,-0.21578817050579574,0.12683367580011007
21,-0.11066654448395441,1.2980883581981935,-0.07869309660306897,-0.28804883878274884,-0.49824437932748095,-0.06587668156097057,-0.23386116423318185,0.09756611987508589
22,-0.17658109386639026,1.5306848619759723,0.018238670951326072,-0.11821083834268423,-0.4782199374888078,-0.046311379603847194,-0.22429073555769635,-0.06301013794736882
23,-0.1501267150348473,1.0489443358690895,0.09390916891011522,0.054269905049233506,-0.26519587802364236,0.031427634334075784,-0.18370124705908297,-0.05531407017790717
24,-0.33382236180266667,0.5135122339502355,0.022734601434365717,0.23648238617036577,-0.10490023752730332,-0.04959949324949545,-0.2663490024920355,-0.1687139035992049
25,-0.13152382366742665,0.08186683429959819,-0.1652945810792582,0.571534133478188,0.09109854673650536,0.007447846715156817,-0.06795612791762949,0.008266617419256234
26,-0.08732533312444071,0.08839459795709394,-0.29472633778036483,1.001593918457824,0.03863236175370264,-0.043210332727553674,-0.049360911929905535,-0.024125190250228266
27,-0.23122462084288126,-0.050899833849597405,-0.27689174869521793,1.0222978718681892,0.10039398888461548,0.03553332384955373,-0.08824900254209485,-0.095221973188268
28,-0.11968064987627203,-0.1687344229404864,-0.2527942481471702,0.8899538022115986,0.09590614544248761,0.16139587999336916,-0.01093709096689747,-0.09523385170071572
29,-0.10245958195780407,-0.1773531846569699,-0.28992895897222715,0.4398894495345179,-0.08346944925138866,0.3093226157837367,0.07918270125689542,-0.2809878529550893
30,-0.06792559933455952,-0.15524984131665615,-0.23541854732568512,0.2221106495543496,-0.11798312458329686,0.5740439692996762,0.19558629360102062,-0.09109157581017763
31,-0.06518453025405797,-0.23065479096977234,-0.2923039043685451,-0.0385586617216475,-0.2089656675577002,0.8539657986034694,0.1930716450362189,-0.17633273254748297
32,-0.0721750955161545,-0.20429076931365797,-0.20024985934592698,-0.12043300961897434,-0.14732598080126458,0.9473534309311521,0.062105884067915076,-0.2641536041113111
33,0.008692852640345089,-0.27237040228467957,-0.3135288329273721,-0.09887851424626178,-0.3009252558148546,0.7174580249792761,0.1019588520399469,-0.11896617586939043
34,-0.060022142919871575,-0.4395223220525525,-0.26758789782861564,-0.0820532453004488,-0.32105634124492344,0.4127137310448897,0.004065004822633625,0.06968137832504168
35,-0.0824854237997264,-0.31525603588613954,-0.3143180307944837,-0.16159380533533638,-0.2925743601678663,0.20245496086373965,-0.13684731489250113,0.37358657023897657
36,-0.10404994592496031,-0.37926162772804706,-0.37100590200151207,-0.07789553954323158,-0.2660414976197878,0.147399243400113,-0.18524532917694264,0.7487310080187511
37,-0.18108897756361236,-0.37974730799825407,-0.3393935540038927,-0.1357434080913775,-0.3312610999073929,0.025325348044938696,-0.30454887735605757,0.8641896079481308
38,-0.2316573750864505,-0.28245841173231817,-0.36931411952343796,0.008254734594837781,-0.37162887289585617,0.055251848815105434,-0.3711367661889522,0.5351471645018537
39,-0.24206908505548036,-0.30546774778193597,-0.28402713612530217,-0.04032567673537377,-0.41210270202047894,0.035715378919444936,-0.3337376535893803,0.07969552630841889
