sensor_node,station_id,side_label,sensor_rank,point_index,loop_node_index,x_m,y_m,latitude,longitude,u_m,tangent_x,tangent_y,next_loop_node_index,prev_loop_node_index
rs10,1,positive_cross,0,1,0,112.02006240361806,35.062204058656086,41.35475070947661,-74.05295742442011,231.53770064516561,-0.99998249423907,0.005917027582172805,1,0
rs10,1,positive_cross,0,2,1,105.85341389663768,35.098692926726855,41.35475103762889,-74.05303130569885,225.37094418442092,-0.99998249423907,0.005917027582172805,2,0
rs10,1,positive_cross,0,3,2,99.68676538965737,35.135181794797624,41.35475136578116,-74.05310518697759,219.20418772367628,-0.99998249423907,0.005917027582172805,3,1
rs10,1,positive_cross,0,4,3,93.52011688267699,35.171670662868394,41.35475169393344,-74.05317906825631,213.0374312629316,-0.99998249423907,0.005917027582172805,4,2
rs10,1,positive_cross,0,5,4,87.35346837569665,35.20815953093916,41.35475202208571,-74.05325294953505,206.87067480218695,-0.99998249423907,0.005917027582172805,5,3
rs10,1,positive_cross,0,6,5,81.1868198687163,35.24464839900993,41.35475235023799,-74.05332683081377,200.70391834144226,-0.99998249423907,0.005917027582172805,6,4
rs8,2,negative_cross,1,1,6,74.80687810168399,35.28239935127726,41.35475268974046,-74.0534032675128,194.32386488671946,-0.99998249423907,0.005917027582172805,7,5
rs8,2,negative_cross,1,2,7,68.21364307459967,35.321412387741155,41.354753040593124,-74.05348225963215,187.73051443801847,-0.99998249423907,0.005917027582172805,8,6
rs8,2,negative_cross,1,3,8,61.620408047515404,35.360425424205054,41.35475339144579,-74.05356125175149,181.13716398931751,-0.99998249423907,0.005917027582172805,9,7
rs8,2,negative_cross,1,4,9,55.02717302043109,35.39943846066895,41.354753742298456,-74.05364024387083,174.54381354061653,-0.99998249423907,0.005917027582172805,10,8
rs6,3,negative_cross,2,1,10,48.67284682492037,35.4370378422397,41.354754080437814,-74.05371637367526,168.18937610584322,-0.99998249423907,0.005917027582172805,11,9
rs6,3,negative_cross,2,2,11,42.65018648283157,35.15665162793661,41.35475155886401,-74.053788529863,162.07385168499752,-0.8386641726773328,-0.5446488827377182,12,10
rs6,3,negative_cross,2,3,12,37.52131525393504,31.825838084767803,41.35472160413816,-74.05384997775717,155.95832726415188,-0.8386641726773328,-0.5446488827377182,13,11
rs6,3,negative_cross,2,4,13,32.39244402503846,28.495024541598966,41.35469164941232,-74.05391142565134,149.84280284330617,-0.8386641726773328,-0.5446488827377182,14,12
rs6,3,negative_cross,2,5,14,27.26357279614192,25.16421099843015,41.35466169468647,-74.05397287354552,143.72727842246053,-0.8386641726773328,-0.5446488827377182,15,13
rs2,4,negative_cross,3,1,15,22.031769583236827,21.76655092489238,41.354631138795334,-74.05403555464547,137.48902074632397,-0.8386641726773328,-0.5446488827377182,16,14
rs2,4,negative_cross,3,2,16,16.697034386323256,18.302044320985694,41.35459998173891,-74.05409946895121,131.1280298148966,-0.8386641726773328,-0.5446488827377182,17,15
rs2,4,negative_cross,3,3,17,11.3622991894097,14.837537717079014,41.35456882468248,-74.05416338325693,124.76703888346921,-0.8386641726773328,-0.5446488827377182,18,16
rs2,4,negative_cross,3,4,18,6.0275639924961375,11.373031113172337,41.354537667626055,-74.05422729756268,118.40604795204183,-0.8386641726773328,-0.5446488827377182,19,17
rs2,4,negative_cross,3,5,19,0.692828795582578,7.908524509265655,41.35450651056963,-74.05429121186842,112.04505702061445,-0.8386641726773328,-0.5446488827377182,20,18
rs2,4,negative_cross,3,6,20,-4.641906401330985,4.444017905358974,41.354475353513195,-74.05435512617414,105.68406608918707,-0.8386641726773328,-0.5446488827377182,21,19
rs2,4,negative_cross,3,7,21,-9.976641598244559,0.9795113014522858,41.35444419645677,-74.05441904047989,99.32307515775967,-0.8386641726773328,-0.5446488827377182,22,20
rs7,5,negative_cross,4,1,22,-14.968000840395995,-2.2619986177109013,41.35441504485771,-74.05447884087276,93.37151623254992,-0.8386641726773328,-0.5446488827377182,23,21
rs7,5,negative_cross,4,2,23,-19.61598412778529,-5.280511852130587,41.35438789871601,-74.05453452735276,87.82938931355781,-0.8386641726773328,-0.5446488827377182,24,22
rs7,5,negative_cross,4,3,24,-24.263967415174594,-8.29902508655028,41.35436075257432,-74.05459021383277,82.28726239456569,-0.8386641726773328,-0.5446488827377182,25,23
rs7,5,negative_cross,4,4,25,-28.911950702563903,-11.317538320969975,41.354333606432625,-74.05464590031278,76.74513547557356,-0.8386641726773328,-0.5446488827377182,26,24
rs7,5,negative_cross,4,5,26,-32.68636712629945,-15.22159749035832,41.354298496385006,-74.05469112077759,71.20300855658144,-0.5560199839795006,-0.8311689223108836,27,25
rs7,5,negative_cross,4,6,27,-35.76790044700981,-19.828041148927134,41.354257069641925,-74.05472803996018,65.66088163758933,-0.5560199839795006,-0.8311689223108836,28,26
rs5,6,negative_cross,5,1,28,-38.796737022267855,-24.35571084542825,41.354216351330095,-74.05476432779449,60.21352963131734,-0.5560199839795006,-0.8311689223108836,29,27
rs5,6,negative_cross,5,2,29,-41.77287685207359,-28.804606579861648,41.35417634144953,-74.05479998428052,54.860952537765506,-0.5560199839795006,-0.8311689223108836,30,28
rs3,6,positive_cross,6,1,30,-45.12458744591808,-33.81492592530159,41.354131282565135,-74.05484014039844,48.83291273628949,-0.5560199839795006,-0.8311689223108836,31,29
rs3,6,positive_cross,6,2,31,-48.85186880380131,-39.38666888174804,41.3540811746769,-74.05488479614824,42.129410226889306,-0.5560199839795006,-0.8311689223108836,32,30
rs3,6,positive_cross,6,3,32,-52.57915016168455,-44.9584118381945,41.354031066788664,-74.05492945189806,35.42590771748911,-0.5560199839795006,-0.8311689223108836,33,31
rs1,7,positive_cross,7,1,33,-56.226178036885756,-50.41018752253843,41.35398203779203,-74.0549731461483,28.866740816510116,-0.5560199839795006,-0.8311689223108836,34,32
rs1,7,positive_cross,7,2,34,-59.79295242940495,-55.74199593477983,41.353934087686994,-74.05501587889896,22.451909523952313,-0.5560199839795006,-0.8311689223108836,35,33
rs1,7,positive_cross,7,3,35,-63.359726821924134,-61.07380434702124,41.35388613758195,-74.05505861164963,16.03707823139451,-0.5560199839795006,-0.8311689223108836,36,34
rs1,7,positive_cross,7,4,36,-66.92650121444332,-66.40561275926264,41.35383818747692,-74.05510134440028,9.622246938836707,-0.5560199839795006,-0.8311689223108836,37,35
rs1,7,positive_cross,7,5,37,-70.49327560696251,-71.73742117150404,41.35379023737188,-74.05514407715094,3.2074156462789,-0.5560199839795006,-0.8311689223108836,37,36
